# Logfile created on 2022-03-03 10:13:17 +0100 by logger.rb/v1.5.0
D, [2022-03-10T08:11:00.277609 #2460] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('PCR', 'produit', '2022-03-10 07:11:00.275888', '2022-03-10 07:11:00.275888')
D, [2022-03-10T08:11:00.305520 #2460] DEBUG -- :   TRANSACTION (25.1ms)  COMMIT
D, [2022-03-10T08:11:00.307106 #2460] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:11:00.307750 #2460] DEBUG -- :   Category Create (0.4ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('SUP', 'Little apple', '2022-03-10 07:11:00.306170', '2022-03-10 07:11:00.306170')
D, [2022-03-10T08:11:00.332872 #2460] DEBUG -- :   TRANSACTION (24.7ms)  COMMIT
D, [2022-03-10T08:11:00.333928 #2460] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:11:00.334465 #2460] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('ELE', 'SUP', '2022-03-10 07:11:00.333313', '2022-03-10 07:11:00.333313')
D, [2022-03-10T08:11:00.357127 #2460] DEBUG -- :   TRANSACTION (22.3ms)  COMMIT
D, [2022-03-10T08:11:00.358292 #2460] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:11:00.359016 #2460] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('GAM', 'Gaming', '2022-03-10 07:11:00.357550', '2022-03-10 07:11:00.357550')
D, [2022-03-10T08:11:00.373600 #2460] DEBUG -- :   TRANSACTION (14.2ms)  COMMIT
D, [2022-03-10T08:18:00.014392 #6668] DEBUG -- :   TRANSACTION (0.2ms)  BEGIN
D, [2022-03-10T08:18:00.015341 #6668] DEBUG -- :   Category Create (0.7ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('PCR', 'produit', '2022-03-10 07:18:00.013485', '2022-03-10 07:18:00.013485')
D, [2022-03-10T08:18:00.027348 #6668] DEBUG -- :   TRANSACTION (9.9ms)  COMMIT
D, [2022-03-10T08:18:00.028474 #6668] DEBUG -- :   TRANSACTION (0.1ms)  BEGIN
D, [2022-03-10T08:18:00.028939 #6668] DEBUG -- :   Category Create (0.3ms)  INSERT INTO `categories` (`name`, `description`, `created_at`, `updated_at`) VALUES ('SUP', 'Little apple', '2022-03-10 07:18:00.027770', '2022-03-10 07:18:00.027770')
